timestamp,current_price,door1_low,door1_high,door2_low,door2_high,pattern
2025-04-17 00:57:37,83923.0,83423.0,84423.0,83723.0,84123.0,Mixed
2025-04-17 00:58:56,83914.0,83414.0,84414.0,83714.0,84114.0,Mixed
2025-04-17 01:00:30,83899.0,83500.0,84300.0,83700.0,84100.0,Mixed
2025-04-17 01:01:52,83894.0,83500.0,84300.0,83700.0,84100.0,Mixed
2025-04-17 01:03:15,83902.0,83402.0,84402.0,83702.0,84102.0,Mixed
2025-04-17 01:04:34,83907.0,83407.0,84407.0,83707.0,84107.0,Bullish
2025-04-17 01:05:52,83909.0,83409.0,84409.0,83709.0,84109.0,Mixed
2025-04-17 01:07:06,83918.0,83418.0,84418.0,83718.0,84118.0,Bullish
2025-04-17 01:08:30,83935.0,83435.0,84435.0,83735.0,84135.0,Mixed
2025-04-17 01:09:51,83945.0,83445.0,84445.0,83745.0,84145.0,Bullish
2025-04-17 01:11:06,83969.0,83500.0,84400.0,83750.0,84150.0,Mixed
2025-04-17 01:12:23,83978.0,83500.0,84478.0,83789.0,84189.0,Mixed
2025-04-17 01:13:37,84059.0,83559.0,84559.0,83859.0,84259.0,Mixed
