timestamp,current_price,door1_low,door1_high,door2_low,door2_high,pattern
2025-04-17 00:57:48,0.60417,0.60367,0.60467,0.60367,0.60467,Mixed
2025-04-17 00:59:16,0.604143,0.603643,0.604643,0.603643,0.604643,Mixed
2025-04-17 01:00:42,0.604225,0.603725,0.604725,0.603725,0.604725,Mixed
2025-04-17 01:02:04,0.60445,0.60395,0.60495,0.60395,0.60495,mixed
2025-04-17 01:03:27,0.604463,0.604,0.605,0.604,0.605,Mixed
2025-04-17 01:04:45,0.604417,0.603917,0.604917,0.603917,0.604917,Mixed
2025-04-17 01:06:01,0.604456,0.604956,0.605456,0.604956,0.605456,Bullish
2025-04-17 01:07:24,0.60467,0.60417,0.60517,0.60417,0.60517,Mixed
2025-04-17 01:08:44,0.604823,0.604323,0.605323,0.604323,0.605323,mixed
2025-04-17 01:09:59,0.604924,0.604424,0.605424,0.604424,0.605424,Mixed
2025-04-17 01:11:16,0.605658,0.605158,0.606158,0.605158,0.606158,Mixed
2025-04-17 01:12:30,0.636597,0.636097,0.637097,0.636097,0.637097,Mixed
2025-04-17 01:13:51,0.606222,0.605722,0.606722,0.605722,0.606722,Mixed
