timestamp,current_price,door1_low,door1_high,door2_low,door2_high,pattern
2025-04-17 00:57:42,1560.98,1500.98,1620.98,1500.98,1620.98,Mixed
2025-04-17 00:58:59,1559.96,1509.96,1609.96,1509.96,1609.96,Mixed
2025-04-17 01:00:34,1558.98,1358.98,1758.98,1358.98,1758.98,Mixed
2025-04-17 01:01:57,1558.3,1508.3,1608.3,1508.3,1608.3,Mixed
2025-04-17 01:03:20,1557.98,1507.98,1607.98,1507.98,1607.98,Mixed
2025-04-17 01:04:38,1558.0,1458.0,1658.0,1458.0,1658.0,Mixed
2025-04-17 01:05:56,1557.63,1507.63,1607.63,1507.63,1607.63,Mixed
2025-04-17 01:07:09,1557.13,1507.13,1607.13,1507.13,1607.13,Mixed
2025-04-17 01:08:34,1557.51,1507.51,1607.51,1507.51,1607.51,Mixed
2025-04-17 01:09:54,1557.34,1507.34,1607.34,1507.34,1607.34,Mixed
2025-04-17 01:11:09,1557.29,1507.29,1607.29,1507.29,1607.29,Mixed
2025-04-17 01:12:26,1558.35,1508.35,1608.35,1508.35,1608.35,Mixed
2025-04-17 01:13:42,1559.39,1509.39,1609.39,1509.39,1609.39,Mixed
