timestamp,current_price,door1_low,door1_high,door2_low,door2_high,pattern
2025-04-17 00:57:52,129.29,128.79,129.79,128.79,129.79,Mixed
2025-04-17 00:59:23,129.25,128.75,129.75,128.75,129.75,Mixed
2025-04-17 01:00:46,129.24,128.74,129.74,128.74,129.74,Mixed
2025-04-17 01:02:09,129.26,128.76,129.76,128.76,129.76,Mixed
2025-04-17 01:03:32,150.0,145.0,155.0,145.0,155.0,Mixed
2025-04-17 01:04:48,129.38,128.88,129.88,128.88,129.88,Mixed
2025-04-17 01:06:04,129.43,128.93,129.93,128.93,129.93,Mixed
2025-04-17 01:07:28,129.49,129.0,130.0,129.0,130.0,Mixed
2025-04-17 01:08:47,150.0,145.0,155.0,145.0,155.0,Mixed
2025-04-17 01:10:02,129.75,129.25,130.25,129.25,130.25,Mixed
2025-04-17 01:11:19,129.77,129.27,130.27,129.27,130.27,Mixed
2025-04-17 01:12:33,150.0,145.0,155.0,145.0,155.0,Mixed
