timestamp,current_price,door1_low,door1_high,door2_low,door2_high,pattern
2025-04-17 00:57:44,582.2,582.2,1082.2,632.2,1032.2,bullish
2025-04-17 00:59:02,582.17,580.0,584.0,580.0,584.0,Mixed
2025-04-17 01:00:37,582.05,580.05,582.05,580.05,582.05,Mixed
2025-04-17 01:02:00,581.93,581.43,582.43,581.43,582.43,Mixed
2025-04-17 01:03:23,581.86,581.86,1081.86,631.8599999999999,1031.86,Mixed
2025-04-17 01:04:42,581.87,576.87,586.87,576.87,586.87,Mixed
2025-04-17 01:05:58,581.9,581.9,1081.9,631.9000000000001,1031.9,Bullish
2025-04-17 01:07:22,581.92,581.42,582.42,581.42,582.42,Mixed
2025-04-17 01:08:36,582.03,577.03,587.03,577.03,587.03,Mixed
2025-04-17 01:09:57,582.13,582.13,1082.13,632.1300000000001,1032.13,Bullish
2025-04-17 01:11:13,582.14,582.14,1082.14,632.1400000000001,1032.14,Bullish
2025-04-17 01:12:29,582.17,570.0,610.0,570.0,610.0,Mixed
2025-04-17 01:13:47,582.24,580.24,584.24,580.24,584.24,Mixed
